Course_description,in_state_price,course_name,Course_schedule_type,Course_schedule_from,course_site,Course_schedule_time,out_state_price
"This course will provide a systematic study of the causes, symptoms, prognosis, and treatment of various psychological disorders. Attention is given to the methods used to diagnose disorders and the standard classification system that is used. Emphasis is on how disorders deviate from what characterizes normal behavioral development. A multipath perspective that considers biological/genetic, psychological, social, and multicultural factors is used to analyze the causes, course, and treatment of psychological disorders.  Prerequisite: PSYC 101 General Psychology or departmental approval.",561,PSYC201. Abnormal Psychology, Inclass,From 1/4/2016 to 1/15/2016,Massasoit Community College,MTWRF-12.30PM-4.30PM,1179
"This course introduces basic principles of biology. Topics include scientific method, evolution, cellular and subcellular structure, basic cell chemistry, transport across cell membranes, mitosis, meiosis, metabolism, photosynthesis, DNA structure and replication, protein synthesis, and patterns of inheritance. This course is required as a prerequisite for most other four-credit biology courses. Three lecture and two laboratory hours per week.  Prerequisites: one unit of high school science, preferably biology, ENGL 092 Preparing for College Reading II, ENGL 099 Introductory Writing, and MATH 010 Fundamentals of Mathematics; waiver by placement testing results; or departmental approval. *  Prerequisite of MATH 010 will change to MATH 112 as of Fall 2015.*",748,BIOL121. Biological Principles I, Inclass,From 1/4/2016 to 1/15/2016,Massasoit Community College,MTWRF-8:00 AM -3.30 PM,1572
"A scientific examination of human social phenomena. Major topics include interaction, statuses and roles, groups, social institutions, culture, socialization, social control, conforming and deviant behavior, collective behavior, social inequality, demography, social change, urbanism, industrialism and globalization. Prerequisite: Eligibility for ENG 101",492,SOC 110. Intro Sociology, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
"This course introduces business applications commonly computerized in a business environment. It examines accounting information systems (AIS) within the context of the total management information system (MIS). Topics include: general ledger package, spreadsheet applications, and various managerial and financial decision models. This course provides the opportunity to experience the actual implementation of software packages using the facilities of the computer lab.Prerequisite: ACCT 105 Principles of Financial Accounting I or departmental approval.",561,ACCT302. Computerized Business Applications, Inclass,From 1/4/2016 to 1/15/2016,Massasoit Community College,MTWRF-8:00 AM - 12:00 PM,1179
"Introduction to the major, classical philosophical problems through a thematic approach. Emphasis on active, informal discussion of contemporary issues.  This is a fully online course. Students should email makinsterd@gcc.mass.edu or phone David Makinster at: 413.775.1265. For more information go to: http://web.gcc.mass.edu/distance-ed/online-courses.   Associated Term: Spring 2016   Offered: Every Fall, Every Spring   Registration Dates: Nov 03, 2015 to Jan 05, 2016   Levels: Undergraduate   Attributes: HC-Hum/Fine Arts/Lib Art Core",656,PHI103. Introduction to Philosophy, Online,From 1/5/2016 to 1/26/2016,Greenfield Community College,TBA,656
"Graphical description of data, measures of central tendency and variability, probability and probability distributions, central limit theorem, estimation of parameters, testing hypotheses, regression and correlation, analysis of variance, and other topics in statistical inference. Prerequisite: MTH 097, MTH 082 or MTH 095 or MTH 099 with a grade of C- or better or SM18, or adequate score on the Mathematics Placement Examination",492,MTH 142. Statistics. MAT 177-W30. Statistics, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
"An introduction to the science of nutrition as it applies to everyday life. Students will learn how to apply the logic of science to their own nutritional concerns. Topics include the six major nutrients: carbohydrates, fats, proteins, vitamins, minerals, and water. The course also will examine energy balance, weight control, the digestive process, nutrition fads, supplements, fiber, and disease as it relates to nutrition and fitness. A dietary computer application is used throughout the semester to track personal dietary, energy, and fitness. Prerequisite: Eligibility for ENG 101.",492,NTR 101. Intro To Nutrition. BIO 108-W30. Nutrition, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
TBA,543,BIO 100-W30. Sexually Transmitted Diseases,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,1161
"A survey of the administrative, managerial, and functional aspects of contract and proprietary security services. The development, history, education, training, and legal aspects of security are included. Emphasis will be placed on facility and site surveys, risk analysis, internal and external protection, intrusion and access control design, alarm monitoring, computer information protection, and safety and disaster contingency planning. Prerequisite: Eligibility for ENG 095",492,CRJ 105. Intro Security, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
"Explores major geographic concepts, contemporary world regions and the development of the science of geography. Subjects of discussion range from basic map and globe concepts to population dynamics and economic development. Student use case studies from around the world to increase their awareness of geography.  This is an online course. Students should email: lallymichael@gcc.mass.edu or phone Michael Lally at: 413.775.1269. For more information go to: http://web.gcc.mass.edu/distance-ed/online-courses   Associated Term: Spring 2016   Offered: Every Fall, Every Spring   Registration Dates: Nov 03, 2015 to Jan 05, 2016   Levels: Undergraduate   Attributes: HC-Hum/Fine Arts/Lib Art Core",656,GGY101. Introduction to Geography, Online,From 1/5/2016 to 1/26/2016,Greenfield Community College,TBA,656
TBA,543,"COM 106-W30. Film, Video and Society","
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,1161
Location: Bedford HH-316,724,BIO 120-W01. Intro To Biology, InClass,From 1/4/2016 to 1/22/2016,Middlesex Community College,09:00 am -   11:10 am / MTWRF,1548
"Introduction to the study and principles of behavior. Topics include general principles of scientific investigation; physiological bases of behavior including sensation, perception, learning, emotion, and motivation; development; individual differences; attitudes; and group dynamics. Prerequisite: Eligibility for ENG 101.",492,PSY 110. Intro To Psych. PSY101. Principles of Psychology, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
Location: Bedford HH-314,724,CHE 131. College Chemistry I, InClass,From 1/4/2016 to 1/22/2016,Middlesex Community College,09:00 am -   12:15 pm,772
TBA,543,MAT 120. Math Modeling/Liberal Arts,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,1161
"An introduction to the basic principles and processes of macroeconomics, including theories of the determinants of output, unemployment and inflation: the composition and role of fiscal and monetary policy, and international trade and finance. Theories are used to develop and understanding and analysis of current economic issues and policies. Prerequisite: ECN 100 with a grade of C- or better or Eligibility for MTH 095",492,ECN 101. Economics I. ECO 140-W3. Principles of Macroeconomics, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
"This courses introduces concepts relevant to the diagnosis and treatment of substance abuse, including the disease concept; the effect of alcohol and other drugs on the body; medical complications; the effect of substance abuse problems on the family and others; and special issues related to populations such as adolescents, individuals at risk for suicide, women, the elderly, and individuals with a dual diagnosis. Same as HSV 208. Prerequisite: PSY 110 or SOC 110",492,HSV 208. Substance Abuse, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
TBA,543,ENG 102-W30. Eng Comp II: An Intro To Lit. ENG 112. English Composition II,In State Price: $656,Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,1161
"An introduction to the field, emphasizing the similarities and differences among societies with different economic, social, political, and religious traditions. Several societies with cultures quite different from our own are studied in detail. Theories about social structure and culture, the research methods used by anthropologists, and the ethics of anthropological research and applied anthropology are covered.",492,ANT 101. Cultural Anth,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: ,Holyoke Community College,From 1/6/2016 to 1/19/2016,1110
"A study of human development with emphasis on the broad physical, maturational, and behavioral changes occurring throughout the life span and the factors and conditions that influence these changes. Prerequisite: PSY 110",492,PSY 216. Human Development, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
TBA,543,ENG 101. English Composition I. ENG 101. English Composition I,In State Price: $656,Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,1161
TBA,724,BUS 221. Financial Accounting,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,772
"An introduction to basic principles, processes, and applications of microeconomics: how a market-based capitalist system determines what products are produced, how they are produced, and the way in which the benefits are distributed. Topics include supply and demand analysis for products and for factors of production; production functions and costs; production and pricing of output within different industry structures; efficiency, equity, international trade, externalities and public goods. Prerequisites: ECN 100 with a grade of C- or better or Eligibility for MTH 095",492,ECN 102. Economics II, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
Location: Bedford HH-115,543,BIO 105-W01. Basic Anatomy &amp; Physiology, InClass,From 1/4/2016 to 1/22/2016,Middlesex Community College,09:00 am -   12:15 pm / MTWRF,1161
"A study of the sources of law, the Massachusetts and Federal Court systems, steps in civil litigation, and the general principles of contract law.",492,LAW 211. Business Law, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
